"Timestamp","1. How important is it for your organisation to have a centralized data repository structure?","2. What functions of Share Point do you use (Choose all that apply)?","3. How do you find data in Share Point and File Share repositories?","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Author]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Comments]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Title]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Manager]","4. In day-to-day file manipulation, how often do you set your Metadata Tags properties: [Company]","5. How often do you use search engines for data search compared with manual searches in: [Google or other search engine]","5. How often do you use search engines for data search compared with manual searches in: [Share Point Search]","5. How often do you use search engines for data search compared with manual searches in: [File explorer Search]","5. How often do you use search engines for data search compared with manual searches in: [Active Directory]","5. How often do you use search engines for data search compared with manual searches in: [ERP system]","5. How often do you use search engines for data search compared with manual searches in: [MES system]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [File Sharing]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [One Drive]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [Share Point]","6. When you collaborate on a file with your colleagues, how often are the following data repositories used: [Linux File share ]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Data breach alert]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Proof of Consent ]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Data Encryption in repositories]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Right to Erasure]","7. Please rate to what extent you believe your organisation is ready for GDPR compliance: [Portability of Data]","8. Please select the main reason why GDPR compliance is important for you?","9. Please indicate your highest level of education  ","10. Please indicate the number of years experience you have in IT operations.","11. Employees in your company are citizens of:","12. Clients of your company are citizens of:","13. Your company locations are: ","14. Please indicate your age category."
"2018/02/28 8:35:07 pm CET","4","Document collaboration and libraries","Manual search","Occasionally","Occasionally","Occasionally","Frequently","Frequently","Very Frequently","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Very frequently","Frequently","Occasionally","Good","Good","Fairly","Fairly","Fairly","Reputation of the company","Master's Degree / MBA","Less than 1 year","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","40-49"
"2018/02/28 8:39:37 pm CET","2","Document collaboration and libraries;Lists;Website development and Content management","Search engine;Manual search","Very frequently","Very frequently","Frequently","Very frequently","Very frequently","Very Frequently","Very Frequently","Very Frequently","Very Frequently","Frequently","Frequently","Very frequently","Frequently","Frequently","Very frequently","Very good","Very good","Very good","Good","Very good","Protecting employees/customers","Master's Degree / MBA","18 and more","Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","Europe , Middle East and Africa (EMEA)","Older than 60"
"2018/02/28 8:42:54 pm CET","2","Document collaboration and libraries;Lists","Manual search","Never","Never","Never","Never","Never","Very Frequently","Never","Occasionally","Occasionally","Frequently","Frequently","Very frequently","Never","Frequently","Never","Fairly","Very good","Good","Very good","Fairly","Penalties","Master's Degree / MBA","1-5","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/02/28 8:48:04 pm CET","5","Survey","Manual search","Frequently","Frequently","Occasionally","Occasionally","Occasionally","Frequently","Never","Never","Never","Never","Never","Very frequently","Never","Occasionally","Never","I don't know","Poor","I don't know","Poor","Poor","Protecting employees/customers","Academic Doctorate Degree","1-5","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","30-39"
"2018/02/28 8:48:04 pm CET","5","Document collaboration and libraries;Website development and Content management","Search engine;Manual search","Very frequently","Frequently","Very frequently","Frequently","Frequently","Very Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Very frequently","Frequently","Frequently","Frequently","Good","Good","Good","Good","Good","Cost savings and data governance","Bachelor Degree","18 and more","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","50-59"
"2018/02/28 8:50:15 pm CET","5","Document collaboration and libraries;Lists","Search engine;Manual search","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Very Frequently","Occasionally","Frequently","Occasionally","Very Frequently","Occasionally","Very frequently","Frequently","Very frequently","Occasionally","Good","Very good","Very good","Good","Very good","Reputation of the company","Bachelor Degree","6-11","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe , Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","30-39"
"2018/02/28 8:52:21 pm CET","2","Website development and Content management","Search engine","Frequently","Occasionally","Frequently","Occasionally","Frequently","Very Frequently","Frequently","Frequently","Frequently","Very Frequently","Frequently","Frequently","Frequently","Very frequently","Frequently","Good","Very good","Good","Good","Good","Cost savings and data governance","Bachelor Degree","Less than 1 year","Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)","Europe , Middle East and Africa (EMEA)","40-49"
"2018/02/28 8:58:41 pm CET","4","None","We do not use Share Point or File Share repositories","Never","Never","Never","Never","Never","Very Frequently","Never","Never","Never","Never","Never","Occasionally","Never","Never","Never","Poor","Poor","Poor","Poor","Poor","Penalties","Bachelor Degree","Less than 1 year","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","30-39"
"2018/02/28 9:08:40 pm CET","5","Document collaboration and libraries;Website development and Content management","Search engine;Manual search","Never","Rarely","Rarely","Never","Never","Frequently","Rarely","Frequently","Occasionally","Frequently","Rarely","Very frequently","Very frequently","Very frequently","Never","Fairly","Fairly","Fairly","Poor","Fairly","Protecting employees/customers","High School Graduate","12-17","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Latin America and Caribbean - LATAM (LAC);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","40-49"
"2018/02/28 9:14:22 pm CET","5","Document collaboration and libraries;Lists","Manual search","Frequently","Frequently","Frequently","Never","Never","Rarely","Never","Never","Occasionally","Never","Never","Never","Rarely","Occasionally","Never","I don't know","Good","I don't know","I don't know","I don't know","Reputation of the company","Academic Doctorate Degree","Not an IT member. ","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA)","North America - US and Canada (NA);Europe, Middle East and Africa (EMEA);Asia Pacific and Japan (APAC)","North America - US and Canada (NA);Europe , Middle East and Africa (EMEA)","50-59"
